	0alternatorVoltage	0boostPressure	0engineTemperature	0fuelRate	0revolutions	0runTime	XTE	courseOverGroundTrue	datumdeltaAltitude	datumdeltaLatitude	datumdeltaLongitude	depthbelowSurface	distanceLogdistanceSinceReset	headingMagnetic	magneticVariation	positionlatitude	positionlongitude	rateOfTurn	speedOverGround	speedThroughWater	totalDistance	watertemperature	windangleApparent	windspeedApparent
2016-11-26 12:23:35	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.915888000000001	0.0	0.0	0.0	21.3570001	-1539309503.0	4.331888	-0.19482	38.801624381818186	-76.42220734545454	0.43363100000000004	4.3184	3.5420000000000003	1083770847.0	284.76001	0.84626	9.758000000000004
2016-11-26 12:23:40	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.996224				21.28111144444445	-1539309503.0	4.270148	-0.1948	38.80150118518518	-76.42238716666667	-0.94406514	4.1588	3.4219999999999997	1083770847.0	284.76001	0.9352800000000004	9.658
2016-11-26 12:23:45	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.871496	0.0	0.0	0.0	21.190000400000002	-1539309503.0	4.240781999999999	-0.1948	38.80136736363636	-76.42254918181813	0.41869684	4.164	3.372	1083770847.0	284.76001	1.0591599999999985	9.468
2016-11-26 12:23:50	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.879512000000001				21.1020006	-1539309503.0	4.291189999999999	-0.1948	38.801224872727275	-76.42271656363631	0.08221791999999997	4.202000000000001	3.4519999999999995	1083770847.0	284.76001	1.08536	9.73000000000001
2016-11-26 12:23:55	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9276416666666667	0.0	0.0	0.0	21.008000600000003	-1539309503.0	4.296600000000001	-0.1948	38.8010926792453	-76.42288433962263	-0.12380844000000003	4.175833333333332	3.4019999999999997	1083770847.0	284.76001	1.0748799999999996	9.346000000000005
2016-11-26 12:24:00	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.903672				20.870001	-1539309503.0	4.307850000000002	-0.1948	38.80096010909092	-76.42305249090909	0.5143691200000002	4.197999999999999	3.468	1083770847.0	284.76001	0.9667199999999992	9.338000000000001
2016-11-26 12:24:05	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.977607999999999	0.0	0.0	0.0	20.7940005	-1539309503.0	4.2953980000000005	-0.1948	38.80083087272725	-76.42322883636368	-0.5329553199999999	4.119599999999999	3.4319999999999995	1083770847.0	284.76001	1.0609200000000003	9.107999999999997
2016-11-26 12:24:10	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9296874999999996				20.743000099999996	-1539309503.0	4.287273999999999	-0.1948	38.800699259259254	-76.42339918518522	0.12137300000000001	4.087083333333331	3.376	1083770847.0	284.76001	1.1184999999999992	8.924000000000003
2016-11-26 12:24:15	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.929364	0.0	0.0	0.0	20.6190002	-1539309503.0	4.2579340000000006	-0.1948	38.80056996363636	-76.42356429090911	-0.06338362000000004	4.0712	3.318	1083770847.6	284.76001	1.130699999999999	8.563999999999998
2016-11-26 12:24:20	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9116320000000013				20.5770004	-1539309503.0	4.287468000000001	-0.1948	38.800433314814825	-76.42372912962965	0.19593067999999994	4.089199999999998	3.308	1083770848.0	284.76001	1.0260400000000005	7.997999999999993
2016-11-26 12:24:25	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9206541666666657	0.0	0.0	0.0	20.5450001	-1539309503.0	4.273592	-0.1948	38.80030807407408	-76.4238894074074	-0.2010075399999999	4.041250000000001	3.2700000000000005	1083770848.0	284.76001	1.03476	8.659999999999998
2016-11-26 12:24:30	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9261440000000003				20.4190008	-1539309503.0	4.327135999999999	-0.1948	38.80017840000001	-76.42405230909092	0.2709775600000001	4.03	3.2979999999999996	1083770848.0	284.76001	1.0713999999999997	8.811999999999994
2016-11-26 12:24:35	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9614	0.0	0.0	0.0	20.389000700000004	-1539309503.0	4.255962000000002	-0.1948	38.800054547169815	-76.42422069811315	-0.5460940000000002	4.024799999999999	3.3280000000000003	1083770848.0	284.76001	1.1185200000000002	8.235999999999997
2016-11-26 12:24:40	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.885164000000001				20.337000500000002	-1539309503.0	4.247104000000001	-0.1948	38.79992530909089	-76.42437323636359	0.3827705	4.020800000000001	3.276	1083770848.0	284.76001	1.0818599999999992	8.442000000000005
2016-11-26 12:24:45	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.918324000000001	0.0	0.0	0.0	20.330000400000003	-1539309503.0	4.320082	-0.1948	38.799790127272715	-76.42453534545453	-0.07972528000000002	4.0568	3.3979999999999997	1083770848.0	284.76001	0.9335399999999998	9.101999999999988
2016-11-26 12:24:50	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.946620833333334				20.231000400000003	-1539309503.0	4.29329	-0.1948	38.79966916666666	-76.42470240740738	-0.19086231999999995	3.9350000000000005	3.2520000000000002	1083770848.0	284.76001	0.9736399999999991	9.221999999999992
2016-11-26 12:24:55	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.914976	0.0	0.0	0.0	20.178000599999997	-1539309503.0	4.287883999999999	-0.1948	38.799547111111124	-76.42486101851851	-0.010142439999999996	3.9311999999999996	3.314	1083770848.0	284.76001	1.005080000000001	9.510000000000005
2016-11-26 12:25:00	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9076842105263156				20.036500750000002	-1539309503.0	4.296207692307693	-0.1948	38.79943141860467	-76.42500590697675	0.694265512820513	3.9905263157894733	3.3274999999999997	1083770848.0	284.76001	0.9518692307692305	8.780256410256413
2016-11-26 12:25:05	12.3	0.0	328.14999399999994	0.0	0.0	173520.0		3.9391419354838715	0.0	0.0	0.0	20.044833999999998	-1539309503.0	4.286477049180328	-0.1948	38.79930495522385	-76.42517289552234	-0.3723787540983608	4.0277419354838715	3.2899999999999996	1083770848.0	284.76001	1.0104770491803288	8.286393442622957
2016-11-26 12:25:10	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9238479999999987				19.945000099999998	-1539309503.0	4.314972	-0.1948	38.799157109090885	-76.42535889090912	0.12966131999999994	4.094799999999999	3.3259999999999996	1083770848.0	284.76001	1.0452	9.778000000000002
2016-11-26 12:25:15	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9435000000000002	0.0	0.0	0.0	19.7460002	-1539309503.0	4.27819	-0.1948	38.79902892592591	-76.42552633333338	0.1610867000000001	4.116666666666668	3.444	1083770848.0	284.76001	1.0138	9.974000000000007
2016-11-26 12:25:20	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9443759999999997				19.771111555555553	-1539309503.0	4.300644	-0.1948	38.79889359259259	-76.42569587037039	-0.2191910600000001	4.202000000000001	3.56	1083770848.0	284.76001	0.9527399999999997	10.673999999999996
2016-11-26 12:25:25	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.931952000000001	0.0	0.0	0.0	19.536000100000003	-1539309503.0	4.286278000000001	-0.1948	38.79876018181819	-76.4258672	0.04809468000000006	4.1964	3.498	1083770848.0	284.76001	0.9771599999999999	10.170000000000009
2016-11-26 12:25:30	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.924954166666666				19.6820003	-1539309503.0	4.295582	-0.1948	38.79862194444445	-76.426041537037	0.19220039999999997	4.250833333333333	3.5699999999999994	1083770848.6	284.76001	0.9980800000000002	10.294
2016-11-26 12:25:35	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9661480000000005	0.0	0.0	0.0	19.592000300000002	-1539309503.0	4.338964	-0.1948	38.79848645454544	-76.42622016363634	0.026464099999999987	4.288	3.588	1083770849.0	284.76001	0.9300600000000003	9.891999999999992
2016-11-26 12:25:40	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9494				19.529000399999997	-1539309503.0	4.249717999999999	-0.1948	38.798355814814805	-76.4264020740741	-0.4744248000000002	4.284000000000001	3.508	1083770849.0	284.76001	1.0417199999999993	9.472000000000005
2016-11-26 12:25:45	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.881340000000001	0.0	0.0	0.0	19.4920008	-1539309503.0	4.293708000000001	-0.1948	38.79821463636365	-76.42657303636366	0.27025457999999997	4.3292	3.564	1083770849.0	284.76001	0.9701800000000006	8.934
2016-11-26 12:25:50	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9176480000000016				19.412000899999995	-1539309503.0	4.301414000000001	-0.1948	38.7980797962963	-76.42674844444447	-0.060084940000000024	4.294399999999999	3.518	1083770849.0	284.76001	0.9876400000000006	9.614000000000003
2016-11-26 12:25:55	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.941170833333335	0.0	0.0	0.0	19.331000999999997	-1539309503.0	4.288436000000001	-0.1948	38.797948254545446	-76.42692741818182	-0.30563528	4.274166666666667	3.622	1083770849.0	284.76001	1.0347600000000003	9.429999999999993
2016-11-26 12:26:00	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.87812				19.2960007	-1539309503.0	4.252770000000001	-0.1948	38.79780963636363	-76.42710198181814	0.47935030000000006	4.334399999999999	3.502	1083770849.0	284.76001	1.0713999999999986	8.688000000000002
2016-11-26 12:26:05	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9471640000000003	0.0	0.0	0.0	19.192000399999998	-1539309503.0	4.296368	-0.1948	38.79766961111112	-76.42727696296295	-0.21785789999999994	4.3504000000000005	3.5520000000000005	1083770849.0	284.76001	1.0766	9.501999999999999
2016-11-26 12:26:10	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9266440000000005				19.165000099999997	-1539309503.0	4.295974	-0.1948	38.797534454545456	-76.42745040000001	0.026869760000000017	4.3288	3.56	1083770849.0	284.76001	1.0609199999999996	9.48
2016-11-26 12:26:15	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9419359999999997	0.0	0.0	0.0	19.1460001	-1019253503.0	4.275723999999999	-0.1948	38.79739498181819	-76.42763300000004	-0.23869326000000005	4.3364	3.622	676333537.0	284.76001	1.0539600000000002	9.358000000000004
2016-11-26 12:26:20	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9343291666666667				19.065999899999998	-1539309503.0	4.304998	-0.1948	38.797258129629626	-76.42780783333332	0.012233760000000085	4.298750000000001	3.4620000000000006	1083770849.0	284.76001	1.0993199999999996	9.306000000000003
2016-11-26 12:26:25	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.937455999999999	0.0	0.0	0.0	19.0070002	-1539309503.0	4.293602	-0.1948	38.79712656603773	-76.42798198113208	-0.012012120000000008	4.2768	3.508	1083770849.0	284.76001	1.113239999999999	9.439999999999996
2016-11-26 12:26:30	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.934247999999999				18.9510007	-1539309503.0	4.302692	-0.1948	38.79699445454547	-76.42815403636362	0.19768812	4.235600000000001	3.5100000000000002	1083770849.0	284.76001	1.0871199999999994	9.142000000000008
2016-11-26 12:26:35	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.944516000000001	0.0	0.0	0.0	18.909000600000006	-1539309503.0	4.319227999999999	-0.1948	38.79686181818182	-76.42833070909084	0.20775342	4.206	3.444	1083770849.0	284.76001	1.0748799999999994	9.69999999999999
2016-11-26 12:26:40	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.964154166666667				18.8580005	-1539309503.0	4.3192119999999985	-0.1948	38.79673653703703	-76.42850690740741	-0.30501356000000013	4.162916666666667	3.396	1083770849.0	284.76001	1.0260199999999997	9.284000000000002
2016-11-26 12:26:45	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9186759999999996	0.0	0.0	0.0	18.850000299999998	-1539309503.0	4.220572	-0.1948	38.796605074074066	-76.42867494444447	-0.4526931999999999	4.1264	3.4400000000000004	1083770850.0	284.747998	1.134199999999999	9.261999999999999
2016-11-26 12:26:50	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.8668416666666663				18.6870004	-1539309503.0	4.309674000000002	-0.1948	38.796468648148156	-76.42882750000001	0.7087038799999996	4.061250000000001	3.258	1083770850.0	284.73999	1.090579999999999	9.996000000000006
2016-11-26 12:26:55	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9414399999999996	0.0	0.0	0.0	18.7410004	-1539309503.0	4.301209999999998	-0.1948	38.7963416	-76.42899667272731	-0.31673332000000004	4.013999999999999	3.37	1083770850.0	284.73999	1.0888599999999997	9.872
2016-11-26 12:27:00	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.917915999999999				18.7210007	-1539309503.0	4.359628	-0.1948	38.79621145454546	-76.42916594545456	0.29676362000000006	4.0972	3.274	1083770850.0	284.73999	1.0172999999999996	9.080000000000004
2016-11-26 12:27:05	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.980043999999999	0.0	0.0	0.0	18.60222311111111	-1539309503.0	4.274444000000001	-0.1948	38.79608960000001	-76.4293462727273	-0.42162041999999994	4.053199999999999	3.368	1083770850.0	284.73999	1.1219999999999999	8.978000000000002
2016-11-26 12:27:10	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.911435999999999				18.6180006	-1539309503.0	4.266870000000001	-0.1948	38.79595642592593	-76.4295125740741	0.06864676000000004	4.1352	3.346	1083770850.0	284.7359922	1.1603799999999993	9.008000000000006
2016-11-26 12:27:15	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9357120000000005	0.0	0.0	0.0	18.5530008	-1539309503.0	4.249457999999999	-0.1948	38.79582632727271	-76.42967729090907	-0.13138834000000016	4.068800000000001	3.348	1083770850.0	284.73999	1.1691199999999995	8.894000000000004
2016-11-26 12:27:20	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.911416666666666				18.4910003	-1539309503.0	4.295422	-0.1948	38.795694740740736	-76.42983483333329	0.09379165999999999	4.034166666666667	3.25	1083770850.0	284.7379942	1.1306999999999996	8.821999999999997
2016-11-26 12:27:25	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.9222320000000006	0.0	0.0	0.0	18.4290005	-1539309503.0	4.285106	-0.1948	38.79556892727272	-76.4299975454545	0.0519295	3.9872000000000014	3.248	1083770850.0	284.73999	1.139459999999999	8.841999999999992
2016-11-26 12:27:30	12.299999999999999	0.0	328.14999399999994	0.0	0.0	173520.0		3.919252				18.469	-1539309503.0	4.28665	-0.1948	38.79544227777777	-76.43015685185183	0.09218582000000003	3.9624000000000006	3.1740000000000004	1083770850.0	284.73999	1.0818599999999992	8.318000000000001
